notice_date,reason,company,address,county,phone,business_type,affected,total_employees,layoff_date,dislocation,union,classification
12/11/2015,Plant Layoff,Eastman Kodak Company (Kodak  Office),"343 State Street Rochester, NY 14650",Monroe County,(585) 781-1758,Photographic equipment and Supplies,1,,3/9/2016,Economic,The affected  worker is not represented by a union.,Plant Layoff
1/28/2015,Plant Layoff,"MYPublisher, Inc. (Shutterfly)","8 Westchester Plaza Elmsford, NY10523",Westchester County,(803) 578-8188,Publishing,46,,to,Economic,There are no bumping rights at this facility and employees are not represented by any union.,Plant Layoff
12/1/2015,Plant Layoff,Credit Suisse Securities (USA) LLC,"One Madison Avenue and Eleven Madison Avenue New York, NY 10010",New York County,(212) 538-7303,Financial Institution,307,,to,Economic,"No bumping rights exist, and employees are not represented by a union.",Plant Layoff
12/18/2015,Plant Closing,"NRG Energy, Inc.","Huntley Generating Station 3500 River Road Tonawanda, NY14150",Erie County,(315) 349-2369,Power Plant,72,72,to,Economic,International Brotherhood of Electrical Workers -  Local Union 97,Plant Closing
12/18/2015,Plant Layoff,Eastman Kodak,"Rochester Tech Park 789 Elmgrove Road, Building 9 Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,3/15/2016,Economic,Bumping rights do not exist.,Plant Layoff
12/17/2015,Plant Closing,"AdvantageCare Physicians, P.C.","1 MetroTech Center North Brooklyn, NY11201",Kings County,(646) 680-1303,Call Center,133,133,to,Economic,1199 SEIU United Healthcare Workers East,Plant Closing
12/14/2015,Plant Layoff,Eastman Kodak,"Rochester Tech Park 789 Elmgrove Road, Building 9 Rochester, NY",Monroe County,(585) 781-1758,Photographic equipment and supplies,1,,3/12/2016,Economic,Bumping rights do not exist.,Plant Layoff
2/6/2015,Plant Closing,Catholic Health Services Home Support Services (CHS),"15 Power Drive Hauppauge, NY11788",Suffolk County,(631) 465-6457,Home Support Services,38,38,to,Sale of CHS Home Support Services to Continued Care of L.I. Inc.,None of the affected employees are represented by a union or will have “bumping” rights to other positions.,Plant Closing
8/24/2015,Plant Layoff,British Airways,"John F. Kennedy International Airport, Terminal 7, Building 59 Jamaica, NY11430",Queens County,(212) 716-0466,Passenger Handling,143,,11/24/2015,Contract Expiration,International Association of Machinists and Aerospace Workers,Plant Layoff
8/31/2015,Plant Closing,"Morrison Management Specialists, Inc.","@ Nostrand Nursing and Rehabilitation Center 270 Nostrand Avenue Brooklyn, NY11205",Kings County,(508) 479-3041,Dining and Housekeeping Services,41,41,2/29/2016,Loss of Contract for Services,SEIU Local 1199,Plant Closing
12/11/2015,Plant Closing,Capsys Corporation,"Brooklyn Navy Yard, Building 2 63 Flushing Avenue, Unit 240 Brooklyn, NY11205",Kings County,(718) 403-0050,Modular building manufacturer,54,54,3/11/2016,Economic,New York City and Vicinity District Council of Carpenters.,Plant Closing
12/8/2015,Plant Layoff,Morgan Stanley (Various NYC sites),"1585Broadway New York, NY10036",New York County,(212) 761-8103,Financial services,358,,3/7/2016,Economic,Bumping rights are not recognized. Terminated employees are not permitted to displace remaining employees based on seniority or any other factor.,Plant Layoff
12/11/2015,Plant Layoff,Bank of America - Shared Service Operations Unit,"5701 Horatio Street Utica, NY13502",Oneida County,(202) 661-7130,Financial Services - Customer Contact Center,234,,to,Consolidation of Services,No bumping rights exist.Associates at this site are not represented by a Union.,Plant Layoff
12/8/2015,Plant Closing,Novartis Pharmaceuticals Corporation,"25 Old Mill Road Suffern, NY10901",Rockland County,(845) 368-6086,Pharmaceutical Manufacturing,60,----,7th,Economic,No union representation; bumping arrangements are not available for affected  employees.,Plant Closing
12/4/2015,Plant Closing,"Briarcliffe College, Inc.","1055 Stewart Avenue Bethpage, NY11714",Nassau/Suffolk County,(224) 293-5571,College,171,171,to,Economic,None of the affected are represented by a labor organization.,Plant Closing
12/3/2015,Plant Closing,RCS Capital Corporation - (Realty Capital Securities),"405 Park Avenue New York, NY10022",New York County,(646) 558-1187,Investment Brokerage/Dealer,79,79,to,Economic,No bumping rights in connection with this action.None of the employees affected are represented by a union.,Plant Closing
12/5/2015,Plant Closing,PCH Communications,"d/b/a Commonground/MGS 228 East 45th Street, Floor 14 New York, NY10017",New York County,(312) 229-7823,Marketing/Advertising,28,28,12/5/2015,Economic,None,Plant Layoff
11/30/2015,Plant Layoff,Sterling National Bank,"400 Rell Boulevard Montebello, NY10901",Rockland County,(845) 369-8086,Financial Institution,1,,to,Economic,There are no bumping rights.,Plant Layoff
